[2024-09-02 16:23:08,480][main][INFO] - -----------------------------------
[2024-09-02 16:23:08,480][main][INFO] - Processing camera G5Bullet_07 with MAC address F4E2C678CCA0
[2024-09-02 16:23:08,481][main][INFO] - Source directory: /srv/unifi-protect/video/2024/09/02
[2024-09-02 16:23:08,481][main][INFO] - Destination directory: /volume1/videos/G5Bullet_07
[2024-09-02 16:23:08,481][main][INFO] - -----------------------------------
[2024-09-02 16:23:20,956][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725262150052.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725262150052.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_1']' returned non-zero exit status 1.
[2024-09-02 16:23:39,045][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725247786242.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725247786242.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_2']' returned non-zero exit status 1.
[2024-09-02 16:23:58,323][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725250847197.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725250847197.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_3']' returned non-zero exit status 1.
[2024-09-02 16:24:16,708][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725257256600.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725257256600.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_4']' returned non-zero exit status 1.
[2024-09-02 16:24:17,486][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725286906339.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725286906339.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_5']' returned non-zero exit status 1.
[2024-09-02 16:24:35,011][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725236440081.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725236440081.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_6']' returned non-zero exit status 1.
[2024-09-02 16:24:50,436][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725242224205.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725242224205.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_7']' returned non-zero exit status 1.
[2024-09-02 16:25:11,281][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725285131198.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725285131198.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_8']' returned non-zero exit status 1.
[2024-09-02 16:25:35,184][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725254044664.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725254044664.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_9']' returned non-zero exit status 1.
[2024-09-02 16:25:49,176][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725229084805.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725229084805.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_10']' returned non-zero exit status 1.
[2024-09-02 16:26:09,687][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725243589871.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725243589871.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_11']' returned non-zero exit status 1.
